#{"t_start": 1716123285.252922, "env_id": "MountainCarContinuous-v0"}
r,l,t
-51.477921,999,5.745802
93.451468,578,8.311877
78.822968,877,12.223329
-77.01417,999,16.407616
-75.814197,999,20.636873
-40.210876,999,24.588288
-41.395043,999,28.852219
72.024714,734,32.272358
-48.900367,999,36.569597
-80.323944,999,40.775688
73.654351,425,42.704404
93.527027,206,43.499149
91.327699,550,79.504149
92.361829,438,107.303091
84.60628,463,136.754879
92.180509,471,2462.31531
93.627002,361,2484.927931
